anime_id,name,genre,type,episodes,rating,members,combined_features
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,"one punch man action, comedy, parody, sci-fi, seinen, super power, supernatural tv"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,"mononoke hime action, adventure, fantasy movie"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,"suzumiya haruhi no shoushitsu comedy, mystery, romance, school, sci-fi, supernatural movie"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,"monogatari series: second season comedy, mystery, romance, supernatural, vampire tv"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,"mushishi zoku shou adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,"mushishi adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"tengen toppa gurren lagann action, adventure, comedy, mecha, sci-fi tv"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,"great teacher onizuka comedy, drama, school, shounen, slice of life tv"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,"natsume yuujinchou go drama, fantasy, shoujo, slice of life, supernatural tv"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,"hajime no ippo: new challenger comedy, drama, shounen, sports tv"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,"mushishi zoku shou: suzu no shizuku adventure, fantasy, historical, mystery, seinen, slice of life, supernatural movie"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,"natsume yuujinchou shi drama, fantasy, shoujo, slice of life, supernatural tv"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,"howl no ugoku shiro adventure, drama, fantasy, romance movie"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,"fate/zero 2nd season action, fantasy, supernatural, thriller tv"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,"kizumonogatari ii: nekketsu-hen action, mystery, supernatural, vampire movie"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,"monster drama, horror, mystery, police, psychological, seinen, thriller tv"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,"bakuman. 3rd season comedy, drama, romance, shounen tv"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"death note mystery, police, psychological, supernatural, thriller tv"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,"gintama°: aizome kaori-hen comedy, parody ova"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,"ansatsu kyoushitsu (tv) 2nd season action, comedy, school, shounen tv"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,"haikyuu!! comedy, drama, school, shounen, sports tv"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,"hajime no ippo: rising comedy, drama, shounen, sports tv"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,"kara no kyoukai 5: mujun rasen action, drama, mystery, romance, supernatural, thriller movie"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,"natsume yuujinchou san drama, fantasy, shoujo, slice of life, supernatural tv"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,"ping pong the animation psychological, seinen, sports tv"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,"mushishi special: hihamukage adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,"boku dake ga inai machi mystery, psychological, seinen, supernatural tv"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,"yojouhan shinwa taikei mystery, psychological, romance tv"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,"aria the origination fantasy, sci-fi, shounen, slice of life tv"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,"kamisama hajimemashita: kako-hen comedy, demons, fantasy, shoujo, supernatural ova"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,"rainbow: nisha rokubou no shichinin drama, historical, seinen, thriller tv"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,"re:zero kara hajimeru isekai seikatsu drama, fantasy, psychological, thriller tv"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,"tengen toppa gurren lagann movie: lagann-hen action, mecha, sci-fi, space, super power movie"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,"zoku natsume yuujinchou drama, fantasy, shoujo, slice of life, supernatural tv"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,"ano hi mita hana no namae wo bokutachi wa mada shiranai. drama, slice of life, supernatural tv"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,"kuroko no basket 3rd season comedy, school, shounen, sports tv"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,"steins;gate movie: fuka ryouiki no déjà vu sci-fi, thriller movie"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,"hotarubi no mori e drama, romance, shoujo, supernatural movie"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,"shokugeki no souma ecchi, school, shounen tv"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,"yuri!!! on ice comedy, sports tv"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,"gintama: yorinuki gintama-san on theater 2d action, comedy, historical, parody, samurai, sci-fi, shounen movie"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,"jojo no kimyou na bouken: stardust crusaders 2nd season action, adventure, drama, shounen, supernatural tv"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,"gintama movie: shinyaku benizakura-hen action, comedy, historical, parody, samurai, sci-fi, shounen movie"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,"hellsing ultimate action, horror, military, seinen, supernatural, vampire ova"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,"kiseijuu: sei no kakuritsu action, drama, horror, psychological, sci-fi, seinen tv"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,"shouwa genroku rakugo shinjuu drama, historical, josei tv"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,"uchuu kyoudai comedy, sci-fi, seinen, slice of life, space tv"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,"bakemono no ko adventure, supernatural movie"
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,"hotaru no haka drama, historical movie"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,"kuroko no basket 2nd season comedy, school, shounen, sports tv"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,"major s5 comedy, drama, romance, sports tv"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,"one piece action, adventure, comedy, drama, fantasy, shounen, super power tv"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,"ghost in the shell: stand alone complex 2nd gig action, mecha, military, mystery, police, sci-fi, seinen tv"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,"jojo no kimyou na bouken: diamond wa kudakenai action, adventure, comedy, drama, shounen, supernatural tv"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,"kara no kyoukai 7: satsujin kousatsu (kou) action, mystery, romance, supernatural, thriller movie"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,"kingdom 2nd season action, historical, military, seinen tv"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,"slam dunk comedy, drama, school, shounen, sports tv"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,"usagi drop josei, slice of life tv"
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,"girls und panzer der film military, school movie"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,"mob psycho 100 action, comedy, slice of life, supernatural tv"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,"nana comedy, drama, music, romance, shoujo, slice of life tv"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,"baccano! action, comedy, historical, mystery, seinen, supernatural tv"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,"mushishi zoku shou: odoro no michi adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,"shingeki no kyojin action, drama, fantasy, shounen, super power tv"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,"bakuman. 2nd season comedy, drama, romance, shounen tv"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,"cross game comedy, drama, romance, school, sports tv"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,"doukyuusei (movie) romance, school, shounen ai, slice of life movie"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,"evangelion: 2.0 you can (not) advance action, mecha, sci-fi movie"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,"shinsekai yori drama, horror, mystery, sci-fi, supernatural tv"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,"uchuu senkan yamato 2199 action, drama, military, sci-fi, space ova"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,"chihayafuru 2 drama, game, josei, slice of life, sports tv"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,"fate/zero action, fantasy, supernatural tv"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,"jojo no kimyou na bouken (tv) action, adventure, shounen, supernatural, vampire tv"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,"mahou shoujo madoka★magica drama, magic, psychological, thriller tv"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,"nichijou comedy, school, slice of life tv"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,"psycho-pass action, police, psychological, sci-fi tv"
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,"barakamon comedy, slice of life tv"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,"diamond no ace: second season comedy, school, shounen, sports tv"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,"magi: the kingdom of magic action, adventure, fantasy, magic, shounen tv"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,"mahou shoujo madoka★magica movie 3: hangyaku no monogatari drama, magic, psychological, thriller movie"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,"major: world series comedy, drama, sports ova"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,"samurai champloo action, adventure, comedy, historical, samurai, shounen tv"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,"shokugeki no souma: ni no sara ecchi, school, shounen tv"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,"katanagatari action, adventure, historical, martial arts, romance tv"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,"mahou shoujo madoka★magica movie 2: eien no monogatari drama, magic, psychological, thriller movie"
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,"major s6 comedy, drama, sports tv"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,"mononoke demons, fantasy, historical, horror, mystery, seinen, supernatural tv"
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,"shirobako comedy, drama tv"
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,"ashita no joe 2 drama, sports tv"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,"hunter x hunter action, adventure, shounen, super power tv"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,"noragami aragoto action, adventure, shounen, supernatural tv"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,"sakamichi no apollon drama, josei, music, romance, school tv"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,"tonari no totoro adventure, comedy, supernatural movie"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,"ghost in the shell: stand alone complex action, mecha, military, police, sci-fi, seinen tv"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,"kaze no tani no nausicaä adventure, fantasy movie"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,"no game no life adventure, comedy, ecchi, fantasy, game, supernatural tv"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,"romeo no aoi sora adventure, drama, historical, slice of life tv"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,"yuu☆yuu☆hakusho action, comedy, demons, fantasy, martial arts, school, shounen tv"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,"kino no tabi: the beautiful world action, adventure, slice of life tv"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,"kuroko no basket comedy, school, shounen, sports tv"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,"nodame cantabile comedy, drama, josei, music, romance, slice of life tv"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,"ookami to koushinryou ii adventure, fantasy, historical, romance tv"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,"shingeki no kyojin: kuinaki sentaku action, fantasy, shoujo, supernatural ova"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,"steins;gate: oukoubakko no poriomania sci-fi, thriller special"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,"fate/stay night: unlimited blade works 2nd season action, fantasy, magic, shounen, supernatural tv"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,"kemono no souja erin drama, fantasy tv"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,"kizumonogatari i: tekketsu-hen mystery, supernatural, vampire movie"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,"neon genesis evangelion: the end of evangelion dementia, drama, mecha, psychological, sci-fi movie"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,"toradora! comedy, romance, school, slice of life tv"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,"toki wo kakeru shoujo adventure, drama, romance, sci-fi movie"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,"tsubasa: tokyo revelations action, adventure, drama, fantasy, romance, shounen ova"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,"owarimonogatari comedy, mystery, supernatural tv"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,"rurouni kenshin: meiji kenkaku romantan action, adventure, comedy, historical, romance, samurai tv"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,"stranger: mukou hadan action, adventure, historical, samurai movie"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,"detective conan movie 06: the phantom of baker street adventure, mystery, police, shounen movie"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,"fate/stay night: unlimited blade works action, fantasy, magic, shounen, supernatural tv"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,"major s1 comedy, drama, shounen, sports tv"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,"mobile suit gundam: the origin action, mecha, military, sci-fi, shounen, space ova"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,"nanatsu no taizai action, adventure, ecchi, fantasy, shounen, supernatural tv"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,"natsume yuujinchou drama, fantasy, shoujo, slice of life, supernatural tv"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,"one piece film: strong world action, adventure, comedy, drama, fantasy, shounen movie"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,"higurashi no naku koro ni kai mystery, psychological, supernatural, thriller tv"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,"hunter x hunter ova action, adventure, shounen, super power ova"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,"hunter x hunter: greed island final action, adventure, shounen, super power ova"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,"kuroshitsuji: book of murder comedy, demons, fantasy, historical, mystery, shounen, supernatural ova"
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,"major s2 comedy, drama, shounen, sports tv"
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,"one outs psychological, seinen, sports tv"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,"beck comedy, drama, music, shounen, slice of life tv"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,"berserk action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural tv"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,"cowboy bebop: tengoku no tobira action, drama, mystery, sci-fi, space movie"
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,"major s3 drama, shounen, sports tv"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,"mobile suit gundam unicorn action, drama, mecha, military, sci-fi, space ova"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,"natsume yuujinchou: itsuka yuki no hi ni drama, fantasy, shoujo, slice of life, supernatural ova"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,"nhk ni youkoso! comedy, drama, psychological, romance tv"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,"rose of versailles adventure, drama, historical, romance, shoujo tv"
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,"sakurasou no pet na kanojo comedy, drama, romance, school, slice of life tv"
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,"angel beats! action, comedy, drama, school, supernatural tv"
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,"bakemonogatari mystery, romance, supernatural, vampire tv"
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641,"bungou stray dogs 2nd season mystery, seinen, supernatural tv"
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840,"hajime no ippo: champion road comedy, shounen, sports special"
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051,"one piece film: z action, adventure, comedy, drama, fantasy, shounen movie"
